,carat,cut,color,clarity,depth,table,price,x,y,z,size_class
0,0.23,Ideal,E,SI2,61.5,55.0,326,3.95,3.98,2.43,5.255577397889721
1,0.21,Premium,E,SI1,59.8,61.0,326,3.89,3.84,2.31,5.108769317799232
2,0.23,Good,E,VS1,56.9,65.0,327,4.05,4.07,2.31,5.2508435541301175
3,0.29,Premium,I,VS2,62.4,58.0,334,4.2,4.23,2.63,5.5461097907542
4,0.31,Good,J,SI2,63.3,58.0,335,4.34,4.35,2.75,5.698142062268418
5,0.24,Very Good,J,VVS2,62.8,57.0,336,3.94,3.96,2.48,5.274036180598687
6,0.24,Very Good,I,VVS1,62.3,57.0,336,3.95,3.98,2.47,5.2791321258686175
7,0.26,Very Good,H,SI1,61.9,55.0,337,4.07,4.11,2.53,5.403304573318066
8,0.22,Fair,E,VS2,65.1,61.0,337,3.87,3.78,2.49,5.1868655431093895
9,0.23,Very Good,H,VS1,59.4,61.0,338,4.0,4.05,2.39,5.274932526203286
10,0.3,Good,J,SI1,64.0,55.0,339,4.25,4.28,2.73,5.633974589021889
11,0.23,Ideal,J,VS1,62.8,56.0,340,3.93,3.9,2.46,5.2366617520232825
12,0.22,Premium,F,SI1,60.4,61.0,342,3.88,3.84,2.33,5.11749291823839
13,0.31,Ideal,J,SI2,62.2,54.0,344,4.35,4.37,2.71,5.6869415322663865
14,0.2,Premium,E,SI2,60.2,62.0,345,3.79,3.75,2.27,5.0117807415210756
15,0.32,Premium,E,I1,60.9,58.0,345,4.38,4.42,2.68,5.6972102401262035
16,0.3,Ideal,I,SI2,62.0,54.0,348,4.31,4.34,2.68,5.647615912667176
17,0.3,Good,J,SI1,63.4,54.0,351,4.23,4.29,2.7,5.614594718346153
18,0.3,Good,J,SI1,63.8,56.0,351,4.23,4.26,2.71,5.609803945375486
19,0.3,Very Good,J,SI1,62.7,59.0,351,4.21,4.27,2.66,5.579482548863902
20,0.3,Good,I,SI2,63.3,56.0,351,4.26,4.3,2.71,5.633482941844996
21,0.23,Very Good,E,VS2,63.8,55.0,352,3.85,3.92,2.48,5.226052220760173
22,0.23,Very Good,H,VS1,61.0,57.0,353,3.94,3.96,2.41,5.232729206441774
23,0.31,Very Good,J,SI1,59.4,62.0,353,4.39,4.43,2.62,5.671094450303652
24,0.31,Very Good,J,SI1,58.1,62.0,353,4.44,4.47,2.59,5.683786605895803
25,0.23,Very Good,G,VVS2,60.4,58.0,354,3.97,4.01,2.41,5.261774390503666
26,0.24,Premium,I,VS1,62.5,57.0,355,3.97,3.94,2.47,5.271845678859838
27,0.3,Very Good,J,VS2,62.2,57.0,357,4.28,4.3,2.67,5.618787198353987
28,0.23,Very Good,D,VS2,60.5,61.0,357,3.96,3.97,2.4,5.2376738435069115
29,0.23,Very Good,F,VS1,60.9,57.0,357,3.96,3.99,2.42,5.256896224252376
30,0.23,Very Good,F,VS1,60.0,57.0,402,4.0,4.03,2.41,5.27981298520848
31,0.23,Very Good,F,VS1,59.8,57.0,402,4.04,4.06,2.42,5.310842067887391
32,0.23,Very Good,E,VS1,60.7,59.0,402,3.97,4.01,2.42,5.2677482915482985
33,0.23,Very Good,E,VS1,59.5,58.0,402,4.01,4.06,2.4,5.288116369924441
34,0.23,Very Good,D,VS1,61.9,58.0,402,3.92,3.96,2.44,5.24323523243353
35,0.23,Good,F,VS1,58.2,59.0,402,4.06,4.08,2.37,5.294935938730757
36,0.23,Good,E,VS1,64.1,59.0,402,3.83,3.85,2.46,5.180861153522287
37,0.31,Good,H,SI1,64.0,54.0,402,4.29,4.31,2.75,5.668097135676492
38,0.26,Very Good,D,VS2,60.8,59.0,403,4.13,4.16,2.52,5.43614904373628
39,0.33,Ideal,I,SI2,61.8,55.0,403,4.49,4.51,2.78,5.814927761395861
40,0.33,Ideal,I,SI2,61.2,56.0,403,4.49,4.5,2.75,5.796072065046032
41,0.33,Ideal,J,SI1,61.1,56.0,403,4.49,4.55,2.76,5.8172502572812
42,0.26,Good,D,VS2,65.2,56.0,403,3.99,4.02,2.61,5.387634054646985
43,0.26,Good,D,VS1,58.4,63.0,403,4.19,4.24,2.46,5.4496728242776165
44,0.32,Good,H,SI2,63.1,56.0,403,4.34,4.37,2.75,5.7047599410329255
45,0.29,Premium,F,SI1,62.4,58.0,403,4.24,4.26,2.65,5.5809100549154245
46,0.32,Very Good,H,SI2,61.8,55.0,403,4.35,4.42,2.71,5.703354622157219
47,0.32,Good,H,SI2,63.8,56.0,403,4.36,4.38,2.79,5.735524126883114
48,0.25,Very Good,E,VS2,63.3,60.0,404,4.0,4.03,2.54,5.355608335750684
49,0.29,Very Good,H,SI2,60.7,60.0,404,4.33,4.37,2.64,5.642538234261603
50,0.24,Very Good,F,SI1,60.9,61.0,404,4.02,4.03,2.45,5.310757089385293
51,0.23,Ideal,G,VS1,61.9,54.0,404,3.93,3.95,2.44,5.243263113561784
52,0.32,Ideal,I,SI1,60.9,55.0,404,4.45,4.48,2.72,5.76091071983753
53,0.22,Premium,E,VS2,61.6,58.0,404,3.93,3.89,2.41,5.203332614150586
54,0.22,Premium,D,VS2,59.3,62.0,404,3.91,3.88,2.31,5.131118111586363
55,0.3,Ideal,I,SI2,61.0,59.0,405,4.3,4.33,2.63,5.613766484284313
56,0.3,Premium,J,SI2,59.3,61.0,405,4.43,4.38,2.61,5.662287375401902
57,0.3,Very Good,I,SI1,62.6,57.0,405,4.25,4.28,2.67,5.601913379789591
58,0.3,Very Good,I,SI1,63.0,57.0,405,4.28,4.32,2.71,5.646934960594313
59,0.3,Good,I,SI1,63.2,55.0,405,4.25,4.29,2.7,5.621399896251266
60,0.35,Ideal,I,VS1,60.9,57.0,552,4.54,4.59,2.78,5.856271334104056
61,0.3,Premium,D,SI1,62.6,59.0,552,4.23,4.27,2.66,5.586319978917456
62,0.3,Ideal,D,SI1,62.5,57.0,552,4.29,4.32,2.69,5.6396151328954645
63,0.3,Ideal,D,SI1,62.1,56.0,552,4.3,4.33,2.68,5.640936685449784
64,0.42,Premium,I,SI2,61.5,59.0,552,4.78,4.84,2.96,6.097614841560119
65,0.28,Ideal,G,VVS2,61.4,56.0,553,4.19,4.22,2.58,5.5115643085056165
66,0.32,Ideal,I,VVS1,62.0,55.3,553,4.39,4.42,2.73,5.727168260522467
67,0.31,Very Good,G,SI1,63.3,57.0,553,4.33,4.3,2.73,5.6676046359118635
68,0.31,Premium,G,SI1,61.8,58.0,553,4.35,4.32,2.68,5.654279714033158
69,0.24,Premium,E,VVS1,60.7,58.0,553,4.01,4.03,2.44,5.3012632232216
70,0.24,Very Good,D,VVS1,61.5,60.0,553,3.97,4.0,2.45,5.2819207565960795
71,0.3,Very Good,H,SI1,63.1,56.0,554,4.29,4.27,2.7,5.628173124846692
72,0.3,Premium,H,SI1,62.9,59.0,554,4.28,4.24,2.68,5.603908062097944
73,0.3,Premium,H,SI1,62.5,57.0,554,4.29,4.25,2.67,5.60528023088799
74,0.3,Good,H,SI1,63.7,57.0,554,4.28,4.26,2.72,5.632070878553151
75,0.26,Very Good,F,VVS2,59.2,60.0,554,4.19,4.22,2.49,5.460338985150443
76,0.26,Very Good,E,VVS2,59.9,58.0,554,4.15,4.23,2.51,5.461456363980835
77,0.26,Very Good,D,VVS2,62.4,54.0,554,4.08,4.13,2.56,5.430854744066767
78,0.26,Very Good,D,VVS2,62.8,60.0,554,4.01,4.05,2.53,5.360661529597043
79,0.26,Very Good,E,VVS1,62.6,59.0,554,4.06,4.09,2.55,5.404077817661609
80,0.26,Very Good,E,VVS1,63.4,59.0,554,4.0,4.04,2.55,5.364852540061203
81,0.26,Very Good,D,VVS1,62.1,60.0,554,4.03,4.12,2.53,5.392561561081322
82,0.26,Ideal,E,VVS2,62.9,58.0,554,4.02,4.06,2.54,5.373503725812096
83,0.38,Ideal,I,SI2,61.6,56.0,554,4.65,4.67,2.87,5.961704003056569
84,0.26,Good,E,VVS1,57.9,60.0,554,4.22,4.25,2.45,5.457487589410646
85,0.24,Premium,G,VVS1,62.3,59.0,554,3.95,3.92,2.45,5.24548805685807
86,0.24,Premium,H,VVS1,61.2,58.0,554,4.01,3.96,2.44,5.275983814773242
87,0.24,Premium,H,VVS1,60.8,59.0,554,4.02,4.0,2.44,5.294076649192365
88,0.24,Premium,H,VVS2,60.7,58.0,554,4.07,4.04,2.46,5.338042403033108
